language,category_size,n,tipo_instancia,algoritmo,replica_id,tiempo_ejecucion,memoria_max_mb,costo_minimo,status
Python,XS,4,uniforme,prog_dinamica,38,21600.0,0.00020599365234375,2.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,39,20295.0,0.000213623046875,5.0,ok
Python,XS,4,uniforme,rec_con_memo,39,22301.0,0.00030517578125,5.0,ok
Python,XS,4,uniforme,prog_dinamica,39,22323.0,0.00020599365234375,5.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,40,20720.0,0.000213623046875,9.0,ok
Python,XS,4,uniforme,rec_con_memo,40,30184.0,0.00030517578125,9.0,ok
Python,XS,4,uniforme,prog_dinamica,40,22051.0,0.00020599365234375,9.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,41,21003.0,0.000213623046875,5.0,ok
Python,XS,4,uniforme,rec_con_memo,41,19356.0,0.00030517578125,5.0,ok
Python,XS,4,uniforme,prog_dinamica,41,48485.0,0.00020599365234375,5.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,42,45996.0,0.000213623046875,10.0,ok
Python,XS,4,uniforme,rec_con_memo,42,70914.0,0.00030517578125,10.0,ok
Python,XS,4,uniforme,prog_dinamica,42,58625.0,0.00020599365234375,10.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,43,62948.0,0.000213623046875,7.0,ok
Python,XS,4,uniforme,rec_con_memo,43,63953.0,0.00030517578125,7.0,ok
Python,XS,4,uniforme,prog_dinamica,43,63593.0,0.00020599365234375,7.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,44,38678.0,0.000213623046875,3.0,ok
Python,XS,4,uniforme,rec_con_memo,44,25365.0,0.00025177001953125,3.0,ok
Python,XS,4,uniforme,prog_dinamica,44,45663.0,0.00020599365234375,3.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,45,69081.0,0.000213623046875,2.0,ok
Python,XS,4,uniforme,rec_con_memo,45,51457.0,0.00025177001953125,2.0,ok
Python,XS,4,uniforme,prog_dinamica,45,61974.0,0.00020599365234375,2.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,46,52831.0,0.000213623046875,7.0,ok
Python,XS,4,uniforme,rec_con_memo,46,49252.0,0.00025177001953125,7.0,ok
Python,XS,4,uniforme,prog_dinamica,46,65160.0,0.00020599365234375,7.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,47,56722.0,0.000213623046875,3.0,ok
Python,XS,4,uniforme,rec_con_memo,47,71548.0,0.00025177001953125,3.0,ok
Python,XS,4,uniforme,prog_dinamica,47,64616.0,0.00020599365234375,3.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,48,46909.0,0.000213623046875,7.0,ok
Python,XS,4,uniforme,rec_con_memo,48,72896.0,0.00025177001953125,7.0,ok
Python,XS,4,uniforme,prog_dinamica,48,71166.0,0.00020599365234375,7.0,ok
Python,XS,4,uniforme,fuerza_bruta_rec,49,57792.0,0.000213623046875,2.0,ok
